,station,lt_opt,lt_ref,month,count,mbe_ghi,mbe_dni,mbe_dhi,opt_mbe_ghi,opt_mbe_dni,opt_mbe_dhi
0,bon,2.155084746,2.355084746,1,9129,-0.001547224,0.019817552,-0.233246275,-0.019473428,0.0619679,-0.382488194
1,bon,1.905,2.655,2,10781,-0.028635082,-0.019282525,-0.245599553,0.003184206,0.12412371,-0.564923797
2,bon,2.618237705,2.955737705,3,11380,-0.019266632,0.000921698,-0.124920034,0.000631155,0.047036329,-0.256759275
3,bon,2.805532787,3.318032787,4,16840,-0.034488928,-0.037387787,-0.039749958,-0.000313967,0.04006074,-0.217297468
4,bon,3.352459016,4.352459016,5,15367,-0.070550289,-0.122929369,0.137034624,0.002309583,0.003647765,-0.076593476
5,bon,3.496721311,4.296721311,6,17690,-0.061441175,-0.109275988,0.128927574,0.001759902,-0.005993117,-0.051460021
6,bon,3.80766129,4.12016129,7,19582,-0.037251519,-0.056118825,0.018070137,-0.000326778,-0.009346527,-0.048644104
7,bon,3.337704918,4.137704918,8,20634,-0.047118515,-0.082604016,0.017053273,0.011331865,0.023445254,-0.18149505
8,bon,3.121106557,4.083606557,9,20904,-0.053420368,-0.113659098,0.13516317,-0.000735603,0.004077353,-0.122975586
9,bon,2.892622951,3.092622951,10,17870,-0.023206288,-0.075064461,0.124853956,-0.013716912,-0.036153303,-0.016330134
10,bon,2.595081967,2.645081967,11,10725,0.013068163,-0.016351796,-0.053556343,-0.003746986,-0.018957997,-0.122863574
11,bon,2.15,2.35,12,7478,0.012747264,0.022346144,-0.231002166,-0.005229168,0.065277164,-0.384984181
12,tbl,0.103389831,2.753389831,1,15856,-0.000646535,-0.07201008,0.149118135,-0.004263253,0.617993026,-1.46958917
13,tbl,-0.048333333,2.951666667,2,15515,-0.011305797,-0.069641212,0.1820633,0.002347588,0.618739779,-1.551928877
14,tbl,0.509836066,3.059836066,3,17880,-0.003036156,-0.049581939,0.228282122,0.00282145,0.293228865,-1.101159229
15,tbl,2.253278689,3.653278689,4,18907,-0.008383736,-0.08189294,0.386418091,-0.001120467,0.010326191,-0.352098805
16,tbl,3.928278689,3.853278689,5,17884,-0.001391749,-0.078571614,0.51208082,-0.000375002,-0.122579201,0.185632676
17,tbl,4.554918033,4.054918033,6,24830,0.011853987,-0.084466968,0.661087404,0.001896251,-0.148534436,0.468862887
18,tbl,5.066129032,4.266129032,7,24838,0.017738619,-0.077490383,0.630870836,0.007455479,-0.167150952,0.494863315
19,tbl,4.819262295,3.944262295,8,21735,0.027310833,-0.055491497,0.530432393,-0.000180455,-0.169925072,0.446080067
20,tbl,2.320081967,3.595081967,9,24651,0.019669978,-0.074651273,0.567098424,0.000790548,-0.02090124,-0.259465506
21,tbl,0.867622951,3.292622951,10,21589,0.006295973,-0.096853678,0.527843231,-0.000850653,0.182945576,-0.850884172
22,tbl,0.198360656,2.848360656,11,15970,0.00206577,-0.082400411,0.213300766,-0.004409832,0.516359532,-1.389366221
23,tbl,-0.05,2.75,12,13237,-0.001378844,-0.074924763,0.012855881,-0.001504215,0.863684767,-1.594119087
24,dra,-1.196610169,2.403389831,1,22720,0.012889679,-0.018153935,-0.046952788,-0.003586699,7.378683626,-3.352147004
25,dra,-1.196666667,2.603333333,2,21403,-0.011460206,-0.037519754,0.037369235,-0.007614845,5.912254713,-3.066792761
26,dra,-1.048360656,2.801639344,3,29261,-0.014927033,-0.033570215,0.053241154,-0.004621643,3.265559578,-2.385856298
27,dra,-0.323360656,2.901639344,4,34852,-0.020920676,-0.019562548,-0.034294458,-0.000830525,0.78443172,-1.537898357
28,dra,0.203278689,3.003278689,5,44471,-0.018366697,-0.024805336,0.037532806,-0.010366704,0.38333798,-1.20224672
29,dra,-0.048360656,3.201639344,6,53606,-0.025507056,-0.051128298,0.248912224,0.001314329,0.512256268,-1.367968227
30,dra,0.24057377,3.26557377,7,42660,-0.017203175,-0.046580764,0.259166729,-0.001110573,0.389014203,-1.19636672
31,dra,-0.302459016,3.097540984,8,45059,-0.005680964,-0.037578513,0.221094696,-0.00138101,0.814959494,-1.578924524
32,dra,-0.878278689,2.946721311,9,43914,-0.013936152,-0.03733957,0.171636922,-0.001487924,2.328751022,-2.170605837
33,dra,-1.166598361,2.745901639,10,34705,-0.005838187,-0.038023345,0.129162426,-0.000509651,5.271270374,-2.841508517
34,dra,-1.303278689,2.496721311,11,24822,0.000743237,-0.029300038,0.007162373,-0.00662536,8.569633504,-3.507846274
35,dra,-1.266129032,2.333870968,12,19080,0.008658198,-0.016495438,-0.087148782,-0.004315412,10.86946406,-3.694010488
36,fpk,4.227542373,2.552542373,1,8563,-0.010832694,-0.041014517,-0.221587263,-0.001653477,-0.353894061,0.291746434
37,fpk,3.176666667,2.701666667,2,10533,-0.037308937,-0.042324688,-0.229491146,-0.002017629,-0.192192694,-0.074432324
38,fpk,4.005737705,2.805737705,3,12659,-0.02963095,-0.028885961,-0.202380522,-0.011410183,-0.230673782,0.170162385
